"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINECODE","INSPDATE","ACTION","VIOLCODE","SCORE","CURRENTGRADE","GRADEDATE","RECORDDATE"
"40364920","RIZZO'S FINE PIZZA","4","30-13","STEINWAY STREET","11103","7187219862","62","2012-10-24 00:00:00","D","10F","10","A","2012-10-24 00:00:00","2013-09-13 01:01:06.177000000"
"40365098","FORLINIS RESTAURANT","1","93","BAXTER STREET","10013","2123496779","48","2012-10-23 00:00:00","D","04K","12","A","2012-10-23 00:00:00","2013-09-13 01:01:06.177000000"
"30075445","MORRIS PARK BAKE SHOP","2","1007","MORRIS PARK AVE","10462","7188924968","08","2013-09-11 00:00:00","U","04H","19","Z","2013-09-11 00:00:00","2013-09-13 01:01:06.177000000"
"40356018","RIVIERA CATERER","3","2780","STILLWELL AVENUE","11224","7183723031","03","2013-06-05 00:00:00","D","10F","7","A","2013-06-05 00:00:00","2013-09-13 01:01:06.177000000"
"40365226","NOSTRAND DONUT SHOP","3","1449","NOSTRAND AVENUE","11226","7188263008","29","2013-05-02 00:00:00","D","10F","10","A","2013-05-02 00:00:00","2013-09-13 01:01:06.177000000"
"40365239","DORRIAN'S RED HAND RESTAURANT","1","1616","2 AVENUE","10028","2127726660","47","2013-08-30 00:00:00","D","02H","7","A","2013-08-30 00:00:00","2013-09-13 01:01:06.177000000"
"40365264","LA GRENOUILLE","1","3","EAST   52 STREET","10022","2127520652","35","2013-03-05 00:00:00","D","02G","9","A","2013-03-05 00:00:00","2013-09-13 01:01:06.177000000"
"40365280","COMO PIZZA","1","4035","BROADWAY","10032","2129287867","62","2013-02-04 00:00:00","D","02G","10","A","2013-02-04 00:00:00","2013-09-13 01:01:06.177000000"
"50000464","PACHAS RESTAURANT","4","93-23     ","37 AVENUE                                         ","11372","7183970729","77","2013-07-11 00:00:00","B","","0","A","2013-07-11 00:00:00","2013-09-13 01:01:13.757000000"
"41615382","MASALAWALA","1","179","ESSEX STREET","10002","2123589300","44","2013-02-21 00:00:00","B","","0","A","2013-02-21 00:00:00","2013-09-13 01:01:13.757000000"
"41472034","BAGELS & MORE","1","1585","3 AVENUE","10128","2123484395","07","2013-06-25 00:00:00","B","","0","A","2013-06-25 00:00:00","2013-09-13 01:01:13.757000000"
"41640757","GINA LA FORNARINA","1","26","EAST   91 STREET","10128","2128286800","48","2013-07-10 00:00:00","B","","0","A","2013-07-10 00:00:00","2013-09-13 01:01:13.757000000"
"41276466","FAYROOZ","4","28-08","STEINWAY STREET","11103","7182047667","56","2013-04-05 00:00:00","B","","0","A","2013-04-05 00:00:00","2013-09-13 01:01:13.757000000"
"41456842","MIDTOWN EXECUTIVE CLUB","1","40","WEST   45 STREET","10036","2126269201","03","2013-07-25 00:00:00","B","","0","A","2013-07-25 00:00:00","2013-09-13 01:01:13.757000000"
"41086673","AMORINA","3","624","VANDERBILT AVENUE","11238","7182303030","62","2013-06-12 00:00:00","B","","0","A","2013-06-12 00:00:00","2013-09-13 01:01:13.757000000"
"41278479","PICKET FENCE","3","1310","CORTELYOU ROAD","11226","7182826661","03","2013-06-24 00:00:00","B","","0","A","2013-06-24 00:00:00","2013-09-13 01:01:13.757000000"
"40597923","BASSETT CATERERS","3","1404","AVENUE X","11235","7183329000","03","2013-08-03 00:00:00","B","","0","A","2013-08-03 00:00:00","2013-09-13 01:01:13.757000000"
"41271464","CAROUSEL FOR ALL CHILDREN","5","2         ","ETON PLACE                                        ","10314","7186672165","42","2013-07-10 00:00:00","B","","0","A","2013-07-10 00:00:00","2013-09-13 01:01:13.757000000"
"41586332","OLGA'S PIZZA","1","3409","BROADWAY","10031","2122347878","62","2013-04-09 00:00:00","B","","0","A","2013-04-09 00:00:00","2013-09-13 01:01:13.757000000"
"40750338","MARIOTT MARQUIS/CROSSROADS BAR","1","1535","BROADWAY","10036","2123981900","03","2013-05-03 00:00:00","B","","0","A","2013-05-03 00:00:00","2013-09-13 01:01:13.757000000"
"41189470","CARRO CAFE","3","3472","FULTON STREET","11208","7183489406","53","2013-03-28 00:00:00","B","","0","A","2013-03-28 00:00:00","2013-09-13 01:01:13.757000000"
"40665052","LA CARRETA RESTAURANT","3","407","51 STREET","11220","7185673566","53","2013-07-18 00:00:00","B","","0","A","2013-07-18 00:00:00","2013-09-13 01:01:13.757000000"
"41557581","MISS LILY'S","1","132","WEST HOUSTON STREET","10012","6465885375","17","2013-07-09 00:00:00","B","","0","A","2013-07-09 00:00:00","2013-09-13 01:01:13.757000000"
"41601373","ALOBAR RESTAURANT","4","46-42","VERNON BOULEVARD","11101","7187526000","03","2013-04-11 00:00:00","B","","0","A","2013-04-11 00:00:00","2013-09-13 01:01:13.757000000"
"40513757","VATAN","1","409","3 AVENUE","10016","2126895666","44","2013-05-29 00:00:00","B","","0","A","2013-05-29 00:00:00","2013-09-13 01:01:13.757000000"
"41044671","MOMOFUKU KO","1","163","1 AVENUE","10003","9176995248","03","2013-05-16 00:00:00","B","","0","A","2013-05-16 00:00:00","2013-09-13 01:01:13.757000000"
"41709346","DELISH BY AMERIVENTS","4","47-01","111 STREET","11368","2122451080","03","2013-05-15 00:00:00","B","","0","A","2013-05-15 00:00:00","2013-09-13 01:01:13.757000000"
"40848604","JO JO","1","160","EAST   64 STREET","10065","2122335656","03","2013-05-22 00:00:00","B","","0","A","2013-05-22 00:00:00","2013-09-13 01:01:13.757000000"
"40640711","ROSELAND BALLROOM","1","239","WEST 52 STREET","10019","2122470200","03","2013-03-21 00:00:00","B","","0","A","2013-03-21 00:00:00","2013-09-13 01:01:13.757000000"
"41722632","CAFE HABANA/CAFE HABANA TO GO","1","17","PRINCE STREET","10012","2126252001","53","2013-05-13 00:00:00","B","","0","A","2013-05-13 00:00:00","2013-09-13 01:01:13.757000000"
"41346376","CROWN FRIED CHICKEN","3","1519","FULTON STREET","11216","7187713662","18","2013-06-14 00:00:00","B","","0","A","2013-06-14 00:00:00","2013-09-13 01:01:13.757000000"
"40863963","BURGER KING","2","1380","JEROME AVENUE","10452","7185386820","39","2013-07-24 00:00:00","B","","0","A","2013-07-24 00:00:00","2013-09-13 01:01:13.757000000"
"41163073","WAJIMA","1","134       ","EAST   61 STREET                                  ","10065","2128139065","49","2013-06-13 00:00:00","B","","0","A","2013-06-13 00:00:00","2013-09-13 01:01:13.757000000"
"41029255","FUZZY'S","4","239-21","BRADDOCK AVENUE","11426","7183479616","03","2013-05-23 00:00:00","B","","0","A","2013-05-23 00:00:00","2013-09-13 01:01:13.757000000"
"40721728","THREE JOLLY PIGEONS","3","6802","3 AVENUE","11220","7187459350","47","2013-05-29 00:00:00","B","","0","A","2013-05-29 00:00:00","2013-09-13 01:01:13.757000000"
"50000495","A+ THAI PLACE","1","1007","2 AVENUE","10022","2122078080","82","2013-07-01 00:00:00","B","","0","A","2013-07-01 00:00:00","2013-09-13 01:01:13.757000000"
"41586899","WATER FALLS CAFE","3","144","ATLANTIC AVENUE","11201","7184888886","56","2013-06-03 00:00:00","B","","0","A","2013-06-03 00:00:00","2013-09-13 01:01:13.757000000"
"41205799","TROPIKS BAR & GRILL","3","422","UTICA AVENUE","11213","7189754909","17","2012-08-10 00:00:00","B","","0","B","2012-08-10 00:00:00","2013-09-13 01:01:13.757000000"
"41640801","VILLAGE GRILL","4","7301","YELLOWSTONE BOULEVARD","11375","7185444024","54","2013-06-15 00:00:00","B","","0","A","2013-06-15 00:00:00","2013-09-13 01:01:13.757000000"
"40360203","BASKIN ROBBINS","5","1716","VICTORY BOULEVARD","10314","7188166326","43","2012-10-02 00:00:00","D","04L","11","A","2012-10-02 00:00:00","2013-09-13 01:01:06.177000000"
"40361390","NORDIC DELICACIES","3","6909","3 AVENUE","11209","7187481874","27","2013-01-10 00:00:00","D","02G","10","A","2013-01-10 00:00:00","2013-09-13 01:01:06.177000000"
"40361521","GLORIOUS FOOD","1","522","EAST   74 STREET","10021","2127372140","03","2013-05-28 00:00:00","D","06D","9","A","2013-05-28 00:00:00","2013-09-13 01:01:06.177000000"
"40361521","GLORIOUS FOOD","1","522","EAST   74 STREET","10021","2127372140","03","2013-05-28 00:00:00","D","09A","9","A","2013-05-28 00:00:00","2013-09-13 01:01:06.177000000"
"40361998","STEVE CHU'S DELI & GROCERY","4","3406","10 STREET","11106","7187268888","27","2013-03-13 00:00:00","D","10F","12","A","2013-03-13 00:00:00","2013-09-13 01:01:06.177000000"
"40365293","ANGELO OF MULBERRY ST.","1","146","MULBERRY STREET","10013","2129661277","48","2013-03-14 00:00:00","D","09C","13","A","2013-03-14 00:00:00","2013-09-13 01:01:06.177000000"
"40356442","KOSHER ISLAND","5","2206","VICTORY BOULEVARD","10314","7186985800","50","2013-04-04 00:00:00","D","06C","12","A","2013-04-04 00:00:00","2013-09-13 01:01:06.177000000"
"40359480","1 EAST 66TH STREET RESTAURANT","1","1         ","EAST   66 STREET                                  ","10065","2128793900","03","2013-05-03 00:00:00","D","09A","4","A","2013-05-03 00:00:00","2013-09-13 01:01:06.177000000"
"40359705","NATHAN'S FAMOUS","3","1310","SURF AVENUE","11224","7183332202","41","2013-06-17 00:00:00","D","04H","9","A","2013-06-17 00:00:00","2013-09-13 01:01:06.177000000"
"40361322","CARVEL ICE CREAM","4","265-15    ","HILLSIDE AVENUE                                   ","11004","7183430392","43","2012-09-20 00:00:00","D","06A","13","A","2012-09-20 00:00:00","2013-09-13 01:01:06.177000000"
"40365387","ARTURO'S","1","106","WEST HOUSTON STREET","10012","2126773820","48","2013-03-29 00:00:00","D","06D","12","A","2013-03-29 00:00:00","2013-09-13 01:01:06.177000000"
"40365414","LE PERIGORD","1","405       ","EAST   52 STREET                                  ","10022","2127556244","35","2013-04-08 00:00:00","U","06A","22","B","2013-04-08 00:00:00","2013-09-13 01:01:06.177000000"
"40362264","P & S DELI GROCERY","1","730","COLUMBUS AVENUE","10025","2129323030","03","2013-08-28 00:00:00","D","02G","9","A","2013-08-28 00:00:00","2013-09-13 01:01:06.177000000"
"40365454","JOE & PAT'S PIZZERIA","5","1758","VICTORY BOULEVARD","10314","7189810887","63","2013-04-25 00:00:00","D","06C","10","A","2013-04-25 00:00:00","2013-09-13 01:01:06.177000000"
"40363333","TONY'S DELI","4","10-69","WYCKOFF AVENUE","11385","7183857925","27","2013-06-21 00:00:00","D","05D","12","A","2013-06-21 00:00:00","2013-09-13 01:01:06.177000000"
"40363426","LEXLER DISCOUNT","1","405","LEXINGTON AVENUE","10174","2126870820","70","2012-08-28 00:00:00","B","","","A","2012-08-28 00:00:00","2013-09-13 01:01:06.177000000"
"40365592","KING YUM RESTAURANT","4","181-08","UNION TURNPIKE","11366","7183801918","20","2013-07-13 00:00:00","U","06C","10","A","2013-07-13 00:00:00","2013-09-13 01:01:06.177000000"
"40363427","BAGELS N BUNS","5","2491","VICTORY BOULEVARD","10314","7187611900","27","2013-06-19 00:00:00","D","06C","10","A","2013-06-19 00:00:00","2013-09-13 01:01:06.177000000"
"40363630","LORENZO & MARIA'S","1","1418      ","THIRD AVENUE                                      ","10028","2127941080","03","2013-03-18 00:00:00","U","04L","26","B","2013-03-18 00:00:00","2013-09-13 01:01:06.177000000"
"40365938","NANCY'S FIRE SIDE","4","255-41","JAMAICA AVENUE","11001","7183434616","03","2013-06-20 00:00:00","D","02H","11","A","2013-06-20 00:00:00","2013-09-13 01:01:06.177000000"
"40364139","MITCHEL LONDON FOODS","1","22A       ","EAST   65 STREET                                  ","10065","2127372850","03","2013-08-22 00:00:00","D","02G","9","A","2013-08-22 00:00:00","2013-09-13 01:01:06.177000000"
"40365968","NANCY WHISKEY PUB","1","1","LISPENARD ST","10013","2122269943","03","2012-09-17 00:00:00","D","08A","12","A","2012-09-17 00:00:00","2013-09-13 01:01:06.177000000"
"40366054","HEALY'S PUB","4","108-07    ","ROCKAWAY BEACH BOULEVARD                          ","11694","7184749600","03","2013-06-26 00:00:00","D","04N","12","A","2013-06-26 00:00:00","2013-09-13 01:01:06.177000000"
"40366109","FIFTH AVENUE BINGO","3","416","5 AVENUE","11215","7187881691","03","2013-02-14 00:00:00","D","06F","13","A","2013-02-14 00:00:00","2013-09-13 01:01:06.177000000"
"40364305","PHILADELHIA GRILLE EXPRESS","3","10004","4 AVENUE","11209","7182380747","48","2013-06-27 00:00:00","U","02B","7","A","2013-06-27 00:00:00","2013-09-13 01:01:06.177000000"
"40364347","METROPOLITAN CLUB","1","1","EAST   60 STREET","10022","2128387400","03","2013-04-02 00:00:00","D","04M","13","A","2013-04-02 00:00:00","2013-09-13 01:01:06.177000000"
"40364355","PALM RESTAURANT","1","837","2 AVENUE","10017","2126872953","03","2013-02-26 00:00:00","D","08A","11","A","2013-02-26 00:00:00","2013-09-13 01:01:06.177000000"
"40366157","NANNI RESTAURANT","1","146","EAST 46 STREET","10017","2126974161","48","2013-07-31 00:00:00","F","02G","67","Z","2013-07-31 00:00:00","2013-09-13 01:01:06.177000000"
"40366157","NANNI RESTAURANT","1","146","EAST 46 STREET","10017","2126974161","48","2013-07-31 00:00:00","F","05D","67","Z","2013-07-31 00:00:00","2013-09-13 01:01:06.177000000"
"40366157","NANNI RESTAURANT","1","146","EAST 46 STREET","10017","2126974161","48","2013-07-31 00:00:00","F","06E","67","Z","2013-07-31 00:00:00","2013-09-13 01:01:06.177000000"
"40366222","KILLARNEY ROSE","1","80","BEAVER STREET","10005","2124221486","47","2013-08-05 00:00:00","D","10F","7","A","2013-08-05 00:00:00","2013-09-13 01:01:06.177000000"
"40366230","DON PEPPE","4","135-58","LEFFERTS BOULEVARD","11420","7188457587","48","2013-06-07 00:00:00","D","08A","13","A","2013-06-07 00:00:00","2013-09-13 01:01:06.177000000"
"40366311","JOE ABBRACEIAMENTO RESTAURANT","4","62-96","WOODHAVEN BOULEVARD","11374","7184298485","48","2012-09-11 00:00:00","D","08A","10","A","2012-09-11 00:00:00","2013-09-13 01:01:06.177000000"
"40364389","OLD TOWN BAR & RESTAURANT","1","45","EAST 18 STREET","10003","2125296732","03","2013-04-24 00:00:00","F","04L","36","C","2013-04-24 00:00:00","2013-09-13 01:01:06.177000000"
"40364404","POLISH NATIONAL HOME","3","261","DRIGGS AVENUE","11222","7183875252","64","2013-05-10 00:00:00","D","10F","3","A","2013-05-10 00:00:00","2013-09-13 01:01:06.177000000"
"40364439","SEVILLE RESTAURANT","1","62","CHARLES STREET","10014","2129293189","53","2013-05-20 00:00:00","D","10J","11","A","2013-05-20 00:00:00","2013-09-13 01:01:06.177000000"
"40364443","CRIMINAL COURT BLDG CAFETERIA","1","100","CENTRE STREET","10013","2129621037","03","2013-03-08 00:00:00","D","02G","12","A","2013-03-08 00:00:00","2013-09-13 01:01:06.177000000"
"40364510","DANISH ATHLETIC CLUB","3","735","65 STREET","11220","7187487844","03","2013-04-03 00:00:00","F","10B","50","C","2013-04-03 00:00:00","2013-09-13 01:01:06.177000000"
"40366396","DESMOND'S TAVERN","1","433","PARK AVENUE SOUTH","10016","2126849472","03","2013-05-02 00:00:00","U","04H","9","A","2013-05-02 00:00:00","2013-09-13 01:01:06.177000000"
"40366425","NAOMI KOSHER PIZZA","4","68-28","MAIN STREET","11367","7185208754","50","2013-05-31 00:00:00","U","08A","26","B","2013-05-31 00:00:00","2013-09-13 01:01:06.177000000"
"40366471","ROLL-N-ROASTER","3","2901","EMMONS AVENUE","11235","0000000000","03","2013-06-25 00:00:00","D","02G","7","A","2013-06-25 00:00:00","2013-09-13 01:01:06.177000000"
"40364668","MARCHIS RESTAURANT","1","251","EAST 31 STREET","10016","2126792494","48","2013-06-19 00:00:00","F","08A","32","C","2013-06-19 00:00:00","2013-09-13 01:01:06.177000000"
"40366497","THE PUNCH BOWL","2","5820","BROADWAY","10463","7188847322","03","2013-05-15 00:00:00","U","10F","9","A","2013-05-15 00:00:00","2013-09-13 01:01:06.177000000"
"40366586","SHIMONS KOSHER PIZZA","4","71-24     ","MAIN STREET                                       ","11367","7187931491","50","2013-09-04 00:00:00","U","02G","25","Z","2013-09-04 00:00:00","2013-09-13 01:01:06.177000000"
"40364691","DINING ROOM","1","1-A","EAST 77 STREET","10075","2127341468","23","2013-04-03 00:00:00","U","06D","18","B","2013-04-03 00:00:00","2013-09-13 01:01:06.177000000"
"40364691","DINING ROOM","1","1-A","EAST 77 STREET","10075","2127341468","23","2013-04-03 00:00:00","U","10F","18","B","2013-04-03 00:00:00","2013-09-13 01:01:06.177000000"
"40364744","NEW PARK PIZZERIA & RESTAURANT","4","156-71","CROSSBAY BOULEVARD","11414","7186413082","63","2013-06-12 00:00:00","D","10F","12","A","2013-06-12 00:00:00","2013-09-13 01:01:06.177000000"
"40364858","DOUGLASTON CLUB","4","600       ","WEST DRIVE                                        ","11363","7182293900","03","2013-06-13 00:00:00","D","09C","13","A","2013-06-13 00:00:00","2013-09-13 01:01:06.177000000"
"40364858","DOUGLASTON CLUB","4","600       ","WEST DRIVE                                        ","11363","7182293900","03","2013-06-13 00:00:00","D","10F","13","A","2013-06-13 00:00:00","2013-09-13 01:01:06.177000000"
"40364889","MELODY LANES","3","461","37 STREET","11232","7188322695","03","2012-12-06 00:00:00","D","02G","12","A","2012-12-06 00:00:00","2013-09-13 01:01:06.177000000"
"40366748","MUNCHTIME","2","21","EAST  170 STREET","10452","7189927347","03","2013-08-29 00:00:00","D","02B","12","A","2013-08-29 00:00:00","2013-09-13 01:01:06.177000000"
"40365013","CRYSTAL ROOM","5","67","OLYMPIA BOULEVARD","10305","7184478926","48","2013-04-04 00:00:00","D","10F","2","A","2013-04-04 00:00:00","2013-09-13 01:01:06.177000000"
"40365022","LABETTI'S POST # 2159","5","390","HYLAN BOULEVARD","10305","7184429312","03","2013-06-15 00:00:00","D","04L","13","A","2013-06-15 00:00:00","2013-09-13 01:01:06.177000000"
"40365075","MCSORLEY'S OLD ALE HOUSE","1","15","EAST    7 STREET","10003","2122542570","47","2013-06-12 00:00:00","D","06C","8","A","2013-06-12 00:00:00","2013-09-13 01:01:06.177000000"
"40365098","FORLINIS RESTAURANT","1","93","BAXTER STREET","10013","2123496779","48","2012-10-23 00:00:00","D","10B","12","A","2012-10-23 00:00:00","2013-09-13 01:01:06.177000000"
"40366879","LA FUSTA RESTAURANT","4","80-32","BAXTER AVENUE","11373","7184298222","77","2013-07-02 00:00:00","U","04C","12","A","2013-07-02 00:00:00","2013-09-13 01:01:06.177000000"
"40366938","LULU'S COFFEE SHOP","2","1191","CASTLE HILL AVENUE","10462","7188223568","14","2013-07-08 00:00:00","D","06C","9","A","2013-07-08 00:00:00","2013-09-13 01:01:06.177000000"
"40365166","CORNER BISTRO","1","331       ","WEST    4 STREET                                  ","10014","2122429502","03","2013-05-15 00:00:00","D","10I","4","A","2013-05-15 00:00:00","2013-09-13 01:01:06.177000000"
"40365293","ANGELO OF MULBERRY ST.","1","146","MULBERRY STREET","10013","2129661277","48","2013-03-14 00:00:00","D","08A","13","A","2013-03-14 00:00:00","2013-09-13 01:01:06.177000000"
"40365293","ANGELO OF MULBERRY ST.","1","146","MULBERRY STREET","10013","2129661277","48","2013-03-14 00:00:00","D","10F","13","A","2013-03-14 00:00:00","2013-09-13 01:01:06.177000000"
"40365324","OYSTER BAR","1","842","7 AVENUE","10019","2125866525","72","2013-03-15 00:00:00","D","10F","7","A","2013-03-15 00:00:00","2013-09-13 01:01:06.177000000"
"40365361","PRINCETON CLUB","1","15","WEST 43 STREET","10036","2125961272","03","2013-07-19 00:00:00","F","02A","29","C","2013-07-19 00:00:00","2013-09-13 01:01:06.177000000"
"40365361","PRINCETON CLUB","1","15","WEST 43 STREET","10036","2125961272","03","2013-07-19 00:00:00","F","02B","29","C","2013-07-19 00:00:00","2013-09-13 01:01:06.177000000"
"40365423","REYNOLD'S BAR","1","4241","BROADWAY","10033","2129238927","03","2013-08-19 00:00:00","U","06D","23","B","2013-08-19 00:00:00","2013-09-13 01:01:06.177000000"
"40365473","PALACE CAFE","3","206","NASSAU AVENUE","11222","7183839848","03","2013-06-13 00:00:00","U","06D","11","A","2013-06-13 00:00:00","2013-09-13 01:01:06.177000000"
"40367179","TWINS PUB","1","421","9 AVENUE","10001","2126431688","47","2012-12-12 00:00:00","D","06E","12","A","2012-12-12 00:00:00","2013-09-13 01:01:06.177000000"
"40367183","NARROWS COFFEE SHOP","3","10001","4 AVENUE","11209","7188339281","03","2013-02-04 00:00:00","D","10F","4","A","2013-02-04 00:00:00","2013-09-13 01:01:06.177000000"
"40367189","BROOME STREET BAR","1","363","WEST BROADWAY","10013","2129252086","03","2013-08-05 00:00:00","D","02G","7","A","2013-08-05 00:00:00","2013-09-13 01:01:06.177000000"
"40365546","REBEN LUNCHEONETTE","3","229","HAVEMEYER STREET","11211","7183887696","03","2013-05-20 00:00:00","U","08A","21","B","2013-05-20 00:00:00","2013-09-13 01:01:06.177000000"
"40365592","KING YUM RESTAURANT","4","181-08","UNION TURNPIKE","11366","7183801918","20","2013-07-13 00:00:00","U","10F","10","A","2013-07-13 00:00:00","2013-09-13 01:01:06.177000000"
"40365632","J&V FAMOUS PIZZA","3","6322","18 AVENUE","11204","7182322700","62","2012-10-06 00:00:00","D","10F","9","A","2012-10-06 00:00:00","2013-09-13 01:01:06.177000000"
"40367481","THE BASSEMBLY BAR","4","73-02","COOPER AVENUE","11385","7188219359","03","2012-12-26 00:00:00","D","06C","12","A","2012-12-26 00:00:00","2013-09-13 01:01:06.177000000"
"40367677","CAPITOL RESTAURANT","1","4933","BROADWAY","10034","2129425090","03","2013-07-15 00:00:00","D","06D","12","A","2013-07-15 00:00:00","2013-09-13 01:01:06.177000000"
"40365789","PATSY'S ITALIAN RESTAURANT","1","236","WEST 56 STREET","10019","2122473491","48","2013-08-12 00:00:00","U","04M","6","A","2013-08-12 00:00:00","2013-09-13 01:01:06.177000000"
"40365882","NEW YORK PIZZA SUPREMA","1","413","8 AVENUE","10001","2125948939","62","2012-11-15 00:00:00","D","10I","11","A","2012-11-15 00:00:00","2013-09-13 01:01:06.177000000"
"40365904","MEE SUM COFFEE SHOP","1","26","PELL STREET","10013","2123495260","14","2013-07-12 00:00:00","D","06E","10","A","2013-07-12 00:00:00","2013-09-13 01:01:06.177000000"
"40367789","DANI PIZZA AND RESTAURANT","4","81-28","LEFFERTS BOULEVARD","11415","7188462849","62","2012-09-12 00:00:00","D","06B","8","A","2012-09-12 00:00:00","2013-09-13 01:01:06.177000000"
"40365972","BLARNEY BAR","4","146-09","JAMAICA AVENUE","11435","7186583406","03","2013-08-05 00:00:00","D","06C","10","A","2013-08-05 00:00:00","2013-09-13 01:01:06.177000000"
"40366002","MARGHERITA PIZZA","4","163-04","JAMAICA AVENUE","11432","7186575780","62","2013-01-03 00:00:00","D","02G","12","A","2013-01-03 00:00:00","2013-09-13 01:01:06.177000000"
"40366154","MICHAEL'S RESTAURANT","3","2929","AVENUE R","11229","7189987851","48","2013-01-22 00:00:00","D","10F","12","A","2013-01-22 00:00:00","2013-09-13 01:01:06.177000000"
"40367841","FIORELLOS","1","1900","BROADWAY","10023","2125955330","48","2013-03-14 00:00:00","D","10F","7","A","2013-03-14 00:00:00","2013-09-13 01:01:06.177000000"
"40367860","LB SPUMONI GARDENS","3","2725A","86 STREET","11223","7184491230","62","2013-05-09 00:00:00","F","04C","27","B","2013-05-09 00:00:00","2013-09-13 01:01:06.177000000"
"40367870","AMORE PIZZERIA & RESTAURANT","4","30-27","STRATTON STREET","11354","7184450579","63","2013-06-12 00:00:00","D","06D","13","A","2013-06-12 00:00:00","2013-09-13 01:01:06.177000000"
"40368021","AFRICAN TERRACE","2","2300","SOUTHERN BOULEVARD","10460","7182207937","02","2013-06-01 00:00:00","D","06F","6","A","2013-06-01 00:00:00","2013-09-13 01:01:06.177000000"
