"STARTDATE","ENDDATE","ACTIONCODE","ACTIONDESC"
"2003-01-01 00:00:00","2010-07-18 00:00:00","R         ",""
"2010-07-19 00:00:00","2099-12-31 00:00:00","R         ",""
"1901-01-01 00:00:00","2002-12-31 00:00:00","S         ","Violations were cited in the following area(s)."
"2003-01-01 00:00:00","2010-07-18 00:00:00","S         ","Violations were cited in the following area(s)."
"2010-07-19 00:00:00","2099-12-31 00:00:00","S         ","Violations were cited in the following area(s)."
"1901-01-01 00:00:00","2002-12-31 00:00:00","T         ","Violations were cited in the following area(s)."
"2003-01-01 00:00:00","2010-07-18 00:00:00","T         ","Violations were cited in the following area(s)."
"2010-07-19 00:00:00","2099-12-31 00:00:00","T         ","Violations were cited in the following area(s)."
"1901-01-01 00:00:00","2002-12-31 00:00:00","U         ","Violations were cited in the following area(s)."
"2003-01-01 00:00:00","2010-07-18 00:00:00","U         ","Violations were cited in the following area(s)."
"2010-07-19 00:00:00","2099-12-31 00:00:00","U         ","Violations were cited in the following area(s)."
"1901-01-01 00:00:00","2002-12-31 00:00:00","V         ",""
"2003-01-01 00:00:00","2010-07-18 00:00:00","V         ",""
"2010-07-19 00:00:00","2099-12-31 00:00:00","V         ",""
"1901-01-01 00:00:00","2002-12-31 00:00:00","W         ","Establishment re-closed by DOHMH"
"2003-01-01 00:00:00","2010-07-18 00:00:00","W         ","Establishment re-closed by DOHMH"
"2010-07-19 00:00:00","2099-12-31 00:00:00","W         ","Establishment re-closed by DOHMH"
"1901-01-01 00:00:00","2002-12-31 00:00:00","X         ",""
"2003-01-01 00:00:00","2010-07-18 00:00:00","X         ",""
"2010-07-19 00:00:00","2099-12-31 00:00:00","X         ",""
"1901-01-01 00:00:00","2002-12-31 00:00:00","Y         ",""
"2003-01-01 00:00:00","2010-07-18 00:00:00","Y         ",""
"2010-07-19 00:00:00","2099-12-31 00:00:00","Y         ",""
"1901-01-01 00:00:00","2002-12-31 00:00:00","Z         ",""
"2003-01-01 00:00:00","2010-07-18 00:00:00","Z         ",""
"2010-07-19 00:00:00","2099-12-31 00:00:00","Z         ",""
